order_id,order_ts,warehouse,vehicle_type,sku_category,route_distance_km,order_volume_units,delivery_cost,delivery_delay_min,on_time,order_date,month,week
ORD100040,2026-05-15 09:29:00,W1 - North,Van,Personal Care,16.81,9,21.54,-0.9,True,2026-05-15,2026-05,2026-05-11
ORD100041,2026-07-08 06:59:00,W3 - South,Van,Home & Kitchen,1.62,6,10.55,-49.2,True,2026-07-08,2026-07,2026-07-06
ORD100042,2026-07-03 07:52:00,W2 - Central,Bike,Personal Care,4.65,6,7.7,-38.2,True,2026-07-03,2026-07,2026-06-29
ORD100043,2026-06-01 12:42:00,W2 - Central,Truck,Apparel,6.13,3,16.05,-13.6,True,2026-06-01,2026-06,2026-06-01
ORD100044,2026-05-07 04:32:00,W2 - Central,Van,Electronics,3.54,3,8.94,-9.9,True,2026-05-07,2026-05,2026-05-04
ORD100045,2026-07-27 21:11:00,W3 - South,Van,Apparel,6.89,5,15.62,-19.8,True,2026-07-27,2026-07,2026-07-27
ORD100046,2026-06-10 17:27:00,W2 - Central,Van,Home & Kitchen,5.79,6,12.83,-3.9,True,2026-06-10,2026-06,2026-06-08
ORD100047,2026-07-20 18:15:00,W2 - Central,Van,Grocery,13.49,6,16.4,11.6,False,2026-07-20,2026-07,2026-07-20
ORD100048,2026-07-01 04:04:00,W3 - South,Van,Grocery,30.27,3,32.61,35.4,False,2026-07-01,2026-07,2026-06-29
ORD100049,2026-07-10 16:59:00,W1 - North,Van,Home & Kitchen,4.41,6,13.39,-20.1,True,2026-07-10,2026-07,2026-07-06
ORD100050,2026-07-08 20:04:00,W3 - South,Van,Home & Kitchen,6.45,4,8.73,-19.1,True,2026-07-08,2026-07,2026-07-06
ORD100051,2026-05-18 04:12:00,W1 - North,Van,Personal Care,11.03,4,16.23,-11.2,True,2026-05-18,2026-05,2026-05-18
ORD100052,2026-06-02 18:01:00,W2 - Central,Bike,Electronics,8.23,5,11.64,-9.7,True,2026-06-02,2026-06,2026-06-01
ORD100053,2026-06-12 08:35:00,W3 - South,Van,Apparel,22.87,8,27.42,-1.3,True,2026-06-12,2026-06,2026-06-08
ORD100054,2026-06-14 18:54:00,W2 - Central,Van,Grocery,11.63,7,13.96,18.3,False,2026-06-14,2026-06,2026-06-08
ORD100055,2026-05-04 11:28:00,W2 - Central,Van,Grocery,2.51,7,9.39,-20.1,True,2026-05-04,2026-05,2026-05-04
ORD100056,2026-06-19 19:15:00,W2 - Central,Van,Apparel,1.26,4,6.1,-25.4,True,2026-06-19,2026-06,2026-06-15
ORD100057,2026-05-14 03:32:00,W1 - North,Bike,Electronics,10.0,7,14.67,-15.3,True,2026-05-14,2026-05,2026-05-11
ORD100058,2026-07-06 09:20:00,W1 - North,Bike,Home & Kitchen,7.77,4,9.4,-29.1,True,2026-07-06,2026-07,2026-07-06
ORD100059,2026-07-01 06:33:00,W1 - North,Truck,Electronics,0.92,3,6.08,-31.6,True,2026-07-01,2026-07,2026-06-29
ORD100060,2026-07-23 05:57:00,W2 - Central,Bike,Electronics,1.23,3,4.99,-17.6,True,2026-07-23,2026-07,2026-07-20
ORD100061,2026-07-07 07:23:00,W2 - Central,Van,Apparel,7.26,7,14.36,-14.0,True,2026-07-07,2026-07,2026-07-06
ORD100062,2026-06-02 09:10:00,W1 - North,Van,Electronics,6.03,3,10.51,-11.8,True,2026-06-02,2026-06,2026-06-01
ORD100063,2026-07-27 03:03:00,W3 - South,Van,Home & Kitchen,14.74,3,16.64,-9.9,True,2026-07-27,2026-07,2026-07-27
ORD100064,2026-06-06 16:58:00,W1 - North,Van,Grocery,2.67,6,9.77,-31.9,True,2026-06-06,2026-06,2026-06-01
ORD100065,2026-05-30 13:12:00,W2 - Central,Truck,Electronics,7.73,4,16.9,10.3,False,2026-05-30,2026-05,2026-05-25
ORD100066,2026-07-21 19:54:00,W1 - North,Van,Home & Kitchen,8.46,5,9.8,-13.1,True,2026-07-21,2026-07,2026-07-20
ORD100067,2026-06-03 16:55:00,W1 - North,Van,Home & Kitchen,10.83,9,19.11,0.5,False,2026-06-03,2026-06,2026-06-01
ORD100068,2026-05-07 03:34:00,W2 - Central,Van,Electronics,3.5,3,9.13,-10.0,True,2026-05-07,2026-05,2026-05-04
ORD100069,2026-06-12 01:40:00,W2 - Central,Van,Grocery,2.93,4,8.69,-26.8,True,2026-06-12,2026-06,2026-06-08
ORD100070,2026-07-11 10:08:00,W1 - North,Truck,Electronics,1.9,5,8.74,-25.1,True,2026-07-11,2026-07,2026-07-06
ORD100071,2026-05-18 11:32:00,W3 - South,Van,Personal Care,7.92,5,13.13,-8.6,True,2026-05-18,2026-05,2026-05-18
ORD100072,2026-06-11 05:45:00,W3 - South,Van,Grocery,20.23,7,26.13,23.6,False,2026-06-11,2026-06,2026-06-08
ORD100073,2026-05-12 18:46:00,W2 - Central,Van,Apparel,11.97,5,15.73,0.3,False,2026-05-12,2026-05,2026-05-11
ORD100074,2026-07-01 13:57:00,W3 - South,Bike,Personal Care,3.7,6,10.12,-30.8,True,2026-07-01,2026-07,2026-06-29
ORD100075,2026-06-12 17:57:00,W3 - South,Van,Apparel,9.65,6,13.09,1.3,False,2026-06-12,2026-06,2026-06-08
ORD100076,2026-05-30 02:36:00,W1 - North,Bike,Apparel,18.16,8,17.04,7.3,False,2026-05-30,2026-05,2026-05-25
ORD100077,2026-05-21 19:33:00,W2 - Central,Van,Apparel,14.81,3,17.92,6.5,False,2026-05-21,2026-05,2026-05-18
ORD100078,2026-06-20 04:56:00,W2 - Central,Van,Home & Kitchen,3.84,9,13.67,-9.4,True,2026-06-20,2026-06,2026-06-15
ORD100079,2026-06-30 10:45:00,W1 - North,Truck,Grocery,14.27,6,27.56,-0.7,True,2026-06-30,2026-06,2026-06-29
ORD100080,2026-07-24 10:32:00,W1 - North,Van,Grocery,12.72,4,15.5,-16.1,True,2026-07-24,2026-07,2026-07-20
ORD100081,2026-06-09 19:41:00,W1 - North,Van,Personal Care,12.04,2,12.84,-13.9,True,2026-06-09,2026-06,2026-06-08
ORD100082,2026-05-15 06:38:00,W2 - Central,Bike,Personal Care,1.06,5,6.14,-26.6,True,2026-05-15,2026-05,2026-05-11
ORD100083,2026-07-14 05:46:00,W3 - South,Van,Apparel,6.3,4,11.64,-15.9,True,2026-07-14,2026-07,2026-07-13
ORD100084,2026-06-26 08:09:00,W2 - Central,Van,Personal Care,4.45,1,5.18,-16.3,True,2026-06-26,2026-06,2026-06-22
ORD100085,2026-07-03 08:39:00,W1 - North,Bike,Electronics,5.81,4,7.95,-12.8,True,2026-07-03,2026-07,2026-06-29
ORD100086,2026-05-09 04:21:00,W1 - North,Van,Personal Care,6.38,2,11.04,-21.7,True,2026-05-09,2026-05,2026-05-04
ORD100087,2026-05-29 04:13:00,W2 - Central,Van,Apparel,15.84,6,20.41,6.0,False,2026-05-29,2026-05,2026-05-25
ORD100088,2026-07-09 05:33:00,W2 - Central,Van,Apparel,3.94,5,9.96,-9.9,True,2026-07-09,2026-07,2026-07-06
ORD100089,2026-07-14 11:13:00,W3 - South,Bike,Home & Kitchen,13.1,4,9.77,-1.2,True,2026-07-14,2026-07,2026-07-13
ORD100090,2026-06-09 08:14:00,W3 - South,Van,Apparel,12.78,3,16.01,-23.3,True,2026-06-09,2026-06,2026-06-08
ORD100091,2026-07-12 09:24:00,W3 - South,Van,Grocery,9.67,4,14.16,-5.6,True,2026-07-12,2026-07,2026-07-06
ORD100092,2026-07-15 17:15:00,W3 - South,Bike,Electronics,3.92,5,8.09,-32.9,True,2026-07-15,2026-07,2026-07-13
ORD100093,2026-06-04 05:46:00,W3 - South,Bike,Home & Kitchen,10.63,7,12.9,-3.0,True,2026-06-04,2026-06,2026-06-01
ORD100094,2026-07-20 21:50:00,W2 - Central,Truck,Personal Care,0.67,6,7.67,-4.2,True,2026-07-20,2026-07,2026-07-20
ORD100095,2026-05-26 18:02:00,W1 - North,Van,Grocery,9.35,3,12.56,-38.3,True,2026-05-26,2026-05,2026-05-25
ORD100096,2026-05-22 04:11:00,W1 - North,Van,Home & Kitchen,0.73,3,4.36,-37.1,True,2026-05-22,2026-05,2026-05-18
ORD100097,2026-07-01 07:31:00,W1 - North,Van,Personal Care,8.78,6,16.02,-11.2,True,2026-07-01,2026-07,2026-06-29
ORD100098,2026-06-27 04:24:00,W1 - North,Bike,Electronics,4.03,5,6.54,-16.4,True,2026-06-27,2026-06,2026-06-22
ORD100099,2026-05-13 06:32:00,W1 - North,Van,Apparel,2.94,10,12.24,-13.0,True,2026-05-13,2026-05,2026-05-11
ORD100100,2026-07-14 08:46:00,W3 - South,Bike,Electronics,16.72,7,18.24,1.1,False,2026-07-14,2026-07,2026-07-13
ORD100101,2026-05-18 03:08:00,W1 - North,Van,Apparel,4.8,4,11.63,-27.5,True,2026-05-18,2026-05,2026-05-18
ORD100102,2026-07-12 00:20:00,W3 - South,Bike,Apparel,10.24,2,10.25,-18.1,True,2026-07-12,2026-07,2026-07-06
ORD100103,2026-05-01 10:31:00,W2 - Central,Bike,Grocery,1.1,5,7.39,-31.6,True,2026-05-01,2026-05,2026-04-27
ORD100104,2026-07-11 16:49:00,W2 - Central,Van,Apparel,12.54,5,16.97,1.1,False,2026-07-11,2026-07,2026-07-06
ORD100105,2026-07-10 07:16:00,W2 - Central,Truck,Grocery,5.49,4,12.94,-18.5,True,2026-07-10,2026-07,2026-07-06
ORD100106,2026-07-10 20:39:00,W1 - North,Truck,Grocery,7.3,6,17.89,-12.9,True,2026-07-10,2026-07,2026-07-06
ORD100107,2026-06-29 08:51:00,W2 - Central,Van,Apparel,7.12,6,14.01,-10.1,True,2026-06-29,2026-06,2026-06-29
ORD100108,2026-06-12 21:37:00,W1 - North,Van,Home & Kitchen,0.5,5,7.51,-35.9,True,2026-06-12,2026-06,2026-06-08
ORD100109,2026-07-03 05:39:00,W3 - South,Bike,Electronics,26.72,1,17.77,5.5,False,2026-07-03,2026-07,2026-06-29
ORD100110,2026-05-25 12:56:00,W1 - North,Van,Grocery,5.11,7,13.87,-26.0,True,2026-05-25,2026-05,2026-05-25
ORD100111,2026-07-10 18:18:00,W1 - North,Van,Apparel,17.14,5,20.83,-3.5,True,2026-07-10,2026-07,2026-07-06
ORD100112,2026-06-20 01:25:00,W2 - Central,Van,Grocery,3.73,9,12.36,-12.5,True,2026-06-20,2026-06,2026-06-15
ORD100113,2026-06-11 22:19:00,W2 - Central,Truck,Home & Kitchen,3.09,6,8.98,-10.3,True,2026-06-11,2026-06,2026-06-08
ORD100114,2026-06-15 08:45:00,W2 - Central,Van,Grocery,6.79,5,15.65,2.2,False,2026-06-15,2026-06,2026-06-15
ORD100115,2026-06-21 11:57:00,W2 - Central,Bike,Apparel,17.88,4,13.64,6.6,False,2026-06-21,2026-06,2026-06-15
ORD100116,2026-05-04 15:04:00,W1 - North,Van,Apparel,14.26,5,19.6,6.2,False,2026-05-04,2026-05,2026-05-04
ORD100117,2026-05-13 15:25:00,W2 - Central,Van,Home & Kitchen,7.31,6,12.69,-2.1,True,2026-05-13,2026-05,2026-05-11
ORD100118,2026-05-23 00:34:00,W1 - North,Truck,Grocery,8.95,3,18.33,-7.0,True,2026-05-23,2026-05,2026-05-18
ORD100119,2026-05-11 20:48:00,W1 - North,Van,Home & Kitchen,7.04,6,12.73,-3.1,True,2026-05-11,2026-05,2026-05-11
ORD100120,2026-06-09 14:57:00,W1 - North,Van,Grocery,16.64,1,16.38,-4.1,True,2026-06-09,2026-06,2026-06-08
ORD100121,2026-06-30 23:58:00,W1 - North,Van,Electronics,11.34,5,12.42,-5.8,True,2026-06-30,2026-06,2026-06-29
ORD100122,2026-06-28 11:18:00,W1 - North,Bike,Personal Care,1.86,5,9.11,-19.4,True,2026-06-28,2026-06,2026-06-22
ORD100123,2026-06-12 14:43:00,W2 - Central,Van,Personal Care,2.22,4,8.6,-19.1,True,2026-06-12,2026-06,2026-06-08
ORD100124,2026-07-16 10:35:00,W1 - North,Van,Apparel,9.98,5,13.61,-7.9,True,2026-07-16,2026-07,2026-07-13
ORD100125,2026-06-20 21:21:00,W1 - North,Van,Electronics,2.52,8,11.12,-16.4,True,2026-06-20,2026-06,2026-06-15
ORD100126,2026-05-08 19:58:00,W2 - Central,Van,Home & Kitchen,5.46,3,11.18,-10.0,True,2026-05-08,2026-05,2026-05-04
ORD100127,2026-07-08 21:48:00,W1 - North,Van,Electronics,11.98,2,13.84,-16.7,True,2026-07-08,2026-07,2026-07-06
ORD100128,2026-06-21 12:06:00,W2 - Central,Van,Apparel,6.82,9,15.31,-5.6,True,2026-06-21,2026-06,2026-06-15
ORD100129,2026-06-27 18:59:00,W3 - South,Van,Home & Kitchen,3.25,2,8.98,-28.3,True,2026-06-27,2026-06,2026-06-22
ORD100130,2026-06-20 08:36:00,W2 - Central,Van,Home & Kitchen,2.33,5,6.32,-14.9,True,2026-06-20,2026-06,2026-06-15
ORD100131,2026-06-19 11:03:00,W3 - South,Bike,Apparel,13.94,4,13.22,1.8,False,2026-06-19,2026-06,2026-06-15
ORD100132,2026-05-09 18:14:00,W1 - North,Bike,Personal Care,22.2,7,18.62,15.6,False,2026-05-09,2026-05,2026-05-04
ORD100133,2026-06-20 01:56:00,W1 - North,Van,Apparel,6.21,6,15.2,-5.5,True,2026-06-20,2026-06,2026-06-15
ORD100134,2026-07-11 17:03:00,W2 - Central,Van,Electronics,9.19,3,13.95,2.3,False,2026-07-11,2026-07,2026-07-06
ORD100135,2026-05-28 00:22:00,W2 - Central,Van,Electronics,6.86,7,12.91,-12.3,True,2026-05-28,2026-05,2026-05-25
ORD100136,2026-06-24 13:56:00,W3 - South,Truck,Personal Care,5.99,4,14.62,-10.6,True,2026-06-24,2026-06,2026-06-22
ORD100137,2026-05-03 11:27:00,W1 - North,Van,Personal Care,12.35,6,20.63,6.9,False,2026-05-03,2026-05,2026-04-27
ORD100138,2026-06-01 11:14:00,W3 - South,Van,Electronics,2.12,7,8.97,-27.4,True,2026-06-01,2026-06,2026-06-01
ORD100139,2026-06-09 11:51:00,W1 - North,Van,Grocery,11.75,7,18.57,-7.8,True,2026-06-09,2026-06,2026-06-08
ORD100140,2026-07-28 11:48:00,W1 - North,Van,Electronics,9.54,3,13.05,-13.6,True,2026-07-28,2026-07,2026-07-27
ORD100141,2026-05-20 09:46:00,W1 - North,Van,Electronics,4.31,5,11.78,-36.6,True,2026-05-20,2026-05,2026-05-18
ORD100142,2026-05-25 10:49:00,W3 - South,Van,Electronics,4.09,7,12.87,-31.1,True,2026-05-25,2026-05,2026-05-25
ORD100143,2026-06-06 13:38:00,W1 - North,Bike,Grocery,4.62,7,9.83,-9.5,True,2026-06-06,2026-06,2026-06-01
ORD100144,2026-07-29 18:19:00,W3 - South,Bike,Home & Kitchen,5.61,5,8.51,-36.6,True,2026-07-29,2026-07,2026-07-27
ORD100145,2026-07-16 13:15:00,W2 - Central,Bike,Home & Kitchen,4.11,5,7.77,-21.9,True,2026-07-16,2026-07,2026-07-13
ORD100146,2026-05-04 15:25:00,W2 - Central,Bike,Electronics,3.76,3,4.47,-21.0,True,2026-05-04,2026-05,2026-05-04
ORD100147,2026-05-22 20:04:00,W2 - Central,Van,Personal Care,3.23,5,9.4,9.3,False,2026-05-22,2026-05,2026-05-18
ORD100148,2026-07-13 23:44:00,W3 - South,Truck,Personal Care,2.03,4,9.13,-23.9,True,2026-07-13,2026-07,2026-07-13
ORD100149,2026-05-06 02:36:00,W1 - North,Bike,Apparel,2.38,6,6.99,-15.8,True,2026-05-06,2026-05,2026-05-04
ORD100150,2026-07-17 17:06:00,W1 - North,Bike,Grocery,13.66,5,10.13,-12.3,True,2026-07-17,2026-07,2026-07-13
ORD100151,2026-05-26 05:24:00,W2 - Central,Bike,Grocery,3.31,6,8.96,-12.7,True,2026-05-26,2026-05,2026-05-25
ORD100152,2026-07-22 04:43:00,W1 - North,Van,Personal Care,5.56,5,11.72,-36.3,True,2026-07-22,2026-07,2026-07-20
ORD100153,2026-05-27 19:01:00,W1 - North,Van,Home & Kitchen,4.8,4,10.57,-25.7,True,2026-05-27,2026-05,2026-05-25
ORD100154,2026-06-09 01:38:00,W1 - North,Van,Apparel,16.89,6,19.97,6.4,False,2026-06-09,2026-06,2026-06-08
ORD100155,2026-06-29 20:20:00,W1 - North,Van,Apparel,3.67,4,9.61,-37.6,True,2026-06-29,2026-06,2026-06-29
ORD100156,2026-05-12 18:29:00,W1 - North,Van,Grocery,3.45,1,6.77,-24.1,True,2026-05-12,2026-05,2026-05-11
ORD100157,2026-06-20 23:52:00,W1 - North,Van,Home & Kitchen,9.68,5,16.03,-1.3,True,2026-06-20,2026-06,2026-06-15
ORD100158,2026-06-15 16:01:00,W3 - South,Van,Electronics,11.54,7,16.05,-14.9,True,2026-06-15,2026-06,2026-06-15
ORD100159,2026-07-10 20:56:00,W1 - North,Truck,Grocery,9.87,6,23.93,-19.0,True,2026-07-10,2026-07,2026-07-06
ORD100160,2026-07-29 02:50:00,W3 - South,Bike,Personal Care,14.17,4,14.79,-13.3,True,2026-07-29,2026-07,2026-07-27
ORD100161,2026-06-29 21:21:00,W3 - South,Bike,Home & Kitchen,18.84,7,16.68,1.3,False,2026-06-29,2026-06,2026-06-29
ORD100162,2026-06-06 03:50:00,W1 - North,Van,Home & Kitchen,2.11,5,8.9,-22.8,True,2026-06-06,2026-06,2026-06-01
ORD100163,2026-06-06 07:32:00,W2 - Central,Bike,Home & Kitchen,6.79,3,9.65,-0.1,True,2026-06-06,2026-06,2026-06-01
ORD100164,2026-06-07 03:04:00,W2 - Central,Truck,Home & Kitchen,2.6,4,8.34,-16.7,True,2026-06-07,2026-06,2026-06-01
ORD100165,2026-07-13 09:38:00,W2 - Central,Bike,Electronics,0.71,3,4.9,-8.8,True,2026-07-13,2026-07,2026-07-13
ORD100166,2026-05-29 17:58:00,W1 - North,Bike,Home & Kitchen,9.4,5,11.17,1.2,False,2026-05-29,2026-05,2026-05-25
ORD100167,2026-05-16 06:26:00,W1 - North,Van,Home & Kitchen,9.03,7,18.42,-3.1,True,2026-05-16,2026-05,2026-05-11
ORD100168,2026-05-31 19:43:00,W1 - North,Van,Personal Care,6.63,2,8.54,-16.9,True,2026-05-31,2026-05,2026-05-25
ORD100169,2026-05-03 14:33:00,W2 - Central,Bike,Electronics,9.53,7,14.61,-1.1,True,2026-05-03,2026-05,2026-04-27
ORD100170,2026-05-10 15:05:00,W3 - South,Truck,Apparel,5.24,4,13.63,-14.0,True,2026-05-10,2026-05,2026-05-04
ORD100171,2026-05-09 22:31:00,W2 - Central,Van,Home & Kitchen,7.85,1,10.72,0.1,False,2026-05-09,2026-05,2026-05-04
ORD100172,2026-07-09 10:21:00,W2 - Central,Van,Grocery,4.46,13,16.91,-9.9,True,2026-07-09,2026-07,2026-07-06
ORD100173,2026-07-05 08:16:00,W3 - South,Van,Home & Kitchen,9.43,5,17.55,-11.6,True,2026-07-05,2026-07,2026-06-29
ORD100174,2026-07-02 23:52:00,W2 - Central,Van,Apparel,0.84,5,7.85,-18.2,True,2026-07-02,2026-07,2026-06-29
ORD100175,2026-06-11 13:22:00,W1 - North,Truck,Home & Kitchen,12.79,6,28.42,-5.3,True,2026-06-11,2026-06,2026-06-08
ORD100176,2026-07-04 14:45:00,W3 - South,Bike,Apparel,13.19,9,13.68,-2.9,True,2026-07-04,2026-07,2026-06-29
ORD100177,2026-05-15 07:06:00,W1 - North,Van,Home & Kitchen,10.2,8,16.18,-8.2,True,2026-05-15,2026-05,2026-05-11
ORD100178,2026-07-21 05:10:00,W1 - North,Van,Grocery,3.1,5,7.1,-30.6,True,2026-07-21,2026-07,2026-07-20
ORD100179,2026-06-15 04:04:00,W2 - Central,Van,Home & Kitchen,6.07,2,9.09,-20.6,True,2026-06-15,2026-06,2026-06-15
ORD100180,2026-07-24 05:21:00,W3 - South,Van,Home & Kitchen,8.9,2,13.11,-18.5,True,2026-07-24,2026-07,2026-07-20
ORD100181,2026-05-14 04:41:00,W1 - North,Van,Electronics,9.11,5,14.56,-18.9,True,2026-05-14,2026-05,2026-05-11
ORD100182,2026-06-14 17:55:00,W2 - Central,Bike,Grocery,5.88,3,10.64,-13.0,True,2026-06-14,2026-06,2026-06-08
ORD100183,2026-07-02 01:23:00,W1 - North,Bike,Personal Care,19.02,7,19.67,16.1,False,2026-07-02,2026-07,2026-06-29
ORD100184,2026-06-14 15:06:00,W1 - North,Van,Home & Kitchen,15.35,1,16.94,-1.6,True,2026-06-14,2026-06,2026-06-08
ORD100185,2026-06-10 22:46:00,W1 - North,Bike,Grocery,5.43,5,8.02,-4.1,True,2026-06-10,2026-06,2026-06-08
ORD100186,2026-05-15 18:22:00,W2 - Central,Bike,Home & Kitchen,7.05,3,10.33,-5.6,True,2026-05-15,2026-05,2026-05-11
ORD100187,2026-06-04 09:40:00,W3 - South,Van,Grocery,7.64,3,13.69,-27.5,True,2026-06-04,2026-06,2026-06-01
ORD100188,2026-05-22 01:25:00,W1 - North,Bike,Apparel,12.48,7,14.2,4.8,False,2026-05-22,2026-05,2026-05-18
ORD100189,2026-05-28 20:01:00,W1 - North,Bike,Personal Care,6.12,9,12.82,-22.6,True,2026-05-28,2026-05,2026-05-25
ORD100190,2026-07-01 00:04:00,W1 - North,Bike,Apparel,4.57,7,10.66,-3.0,True,2026-07-01,2026-07,2026-06-29
ORD100191,2026-06-26 16:21:00,W1 - North,Van,Electronics,8.02,2,10.03,-16.1,True,2026-06-26,2026-06,2026-06-22
ORD100192,2026-06-24 16:06:00,W2 - Central,Van,Electronics,10.94,7,15.17,4.3,False,2026-06-24,2026-06,2026-06-22
ORD100193,2026-06-02 04:36:00,W2 - Central,Van,Home & Kitchen,9.84,5,14.79,-4.0,True,2026-06-02,2026-06,2026-06-01
ORD100194,2026-07-26 17:45:00,W2 - Central,Van,Home & Kitchen,3.58,5,9.24,-6.8,True,2026-07-26,2026-07,2026-07-20
ORD100195,2026-05-08 04:12:00,W1 - North,Van,Grocery,17.96,5,22.18,1.1,False,2026-05-08,2026-05,2026-05-04
